Sigla;Código;Município;População - residente - urbana - mulheres (1970);População - residente - rural - mulheres (1970);População - residente - urbana - homens (1970);População - residente - rural - homens (1970);População  residente - urbana (1970);População  residente - rural (1970);População - residente - mulheres (1970);População - residente - homens (1970);População  residente -  total (1970)
AC;1200013;Acrelândia;;;;;;;;;
AC;1200054;Assis Brasil;;;;;;;;;
AC;1200104;Brasiléia;1376;4542;1288;5105;2664;9647;5918;6393;12311
AC;1200138;Bujari;;;;;;;;;
AC;1200179;Capixaba;;;;;;;;;
AC;1200203;Cruzeiro do Sul;4943;16351;4667;17623;9610;33974;21294;22290;43584
AC;1200252;Epitaciolândia;;;;;;;;;
AC;1200302;Feijó;1127;6367;1129;7145;2256;13512;7494;8274;15768
AC;1200328;Jordão;;;;;;;;;
AC;1200336;Mâncio Lima;;;;;;;;;
AC;1200344;Manoel Urbano;;;;;;;;;
AC;1200351;Marechal Thaumaturgo;;;;;;;;;
AC;1200385;Plácido de Castro;;;;;;;;;
AC;1200393;Porto Walter;;;;;;;;;
AC;1200401;Rio Branco;18186;21895;17442;26454;35628;48349;40081;43896;83977
AC;1200427;Rodrigues Alves;;;;;;;;;
AC;1200435;Santa Rosa do Purus;;;;;;;;;
AC;1200450;Senador Guiomard;;;;;;;;;
AC;1200500;Sena Madureira;1838;8697;1739;10196;3577;18893;10535;11935;22470
AC;1200609;Tarauacá;2028;9404;1804;10626;3832;20030;11432;12430;23862
AC;1200708;Xapuri;999;5347;873;6108;1872;11455;6346;6981;13327
AC;1200807;Porto Acre;;;;;;;;;
AL;2700102;Água Branca;947;10691;835;10147;1782;20838;11638;10982;22620
AL;2700201;Anadia;1570;4851;1436;4729;3006;9580;6421;6165;12586
AL;2700300;Arapiraca;24532;24239;22060;23456;46592;47695;48771;45516;94287
AL;2700409;Atalaia;2842;16665;2757;17811;5599;34476;19507;20568;40075
AL;2700508;Barra de Santo Antônio;1179;1901;1074;1874;2253;3775;3080;2948;6028
AL;2700607;Barra de São Miguel;412;298;361;347;773;645;710;708;1418
AL;2700706;Batalha;2079;2554;1867;2515;3946;5069;4633;4382;9015
AL;2700805;Belém;589;2352;568;2252;1157;4604;2941;2820;5761
AL;2700904;Belo Monte;411;1932;423;1932;834;3864;2343;2355;4698
AL;2701001;Boca da Mata;1118;6280;1085;6879;2203;13159;7398;7964;15362
AL;2701100;Branquinha;871;3958;884;4270;1755;8228;4829;5154;9983
AL;2701209;Cacimbinhas;764;4006;676;3859;1440;7865;4770;4535;9305
AL;2701308;Cajueiro;1834;4034;1727;4315;3561;8349;5868;6042;11910
AL;2701357;Campestre;;;;;;;;;
AL;2701407;Campo Alegre;907;2567;777;2699;1684;5266;3474;3476;6950
AL;2701506;Campo Grande;745;3030;685;2960;1430;5990;3775;3645;7420
AL;2701605;Canapi;619;6455;481;6269;1100;12724;7074;6750;13824
AL;2701704;Capela;2676;6989;2492;7444;5168;14433;9665;9936;19601
AL;2701803;Carneiros;494;2115;431;1972;925;4087;2609;2403;5012
AL;2701902;Chã Preta;458;4960;455;4714;913;9674;5418;5169;10587
AL;2702009;Coité do Nóia;348;3210;328;3161;676;6371;3558;3489;7047
AL;2702108;Colônia Leopoldina;2488;3804;2303;4106;4791;7910;6292;6409;12701
AL;2702207;Coqueiro Seco;1113;304;1147;293;2260;597;1417;1440;2857
AL;2702306;Coruripe;2470;11027;2225;11503;4695;22530;13497;13728;27225
AL;2702355;Craíbas;;;;;;;;;
AL;2702405;Delmiro Gouveia;4979;2801;4093;2807;9072;5608;7780;6900;14680
AL;2702504;Dois Riachos;754;2425;673;2370;1427;4795;3179;3043;6222
AL;2702553;Estrela de Alagoas;;;;;;;;;
AL;2702603;Feira Grande;881;5934;826;5669;1707;11603;6815;6495;13310
AL;2702702;Feliz Deserto;525;308;547;343;1072;651;833;890;1723
AL;2702801;Flexeiras;1163;4720;1045;5114;2208;9834;5883;6159;12042
AL;2702900;Girau do Ponciano;793;8390;750;8414;1543;16804;9183;9164;18347
AL;2703007;Ibateguara;1349;4510;1245;4463;2594;8973;5859;5708;11567
AL;2703106;Igaci;1248;10788;1119;10176;2367;20964;12036;11295;23331
AL;2703205;Igreja Nova;1737;8195;1586;7825;3323;16020;9932;9411;19343
AL;2703304;Inhapi;428;4520;385;4120;813;8640;4948;4505;9453
AL;2703403;Jacaré dos Homens;706;1200;608;1194;1314;2394;1906;1802;3708
AL;2703502;Jacuípe;867;2658;923;3246;1790;5904;3525;4169;7694
AL;2703601;Japaratinga;311;1059;301;1131;612;2190;1370;1432;2802
AL;2703700;Jaramataia;410;748;368;794;778;1542;1158;1162;2320
AL;2703759;Jequiá da Praia;;;;;;;;;
AL;2703809;Joaquim Gomes;1023;6499;1043;6865;2066;13364;7522;7908;15430
AL;2703908;Jundiá;309;4540;288;4820;597;9360;4849;5108;9957
AL;2704005;Junqueiro;1034;6580;1067;6317;2101;12897;7614;7384;14998
AL;2704104;Lagoa da Canoa;617;5232;569;5144;1186;10376;5849;5713;11562
AL;2704203;Limoeiro de Anadia;549;7954;469;7753;1018;15707;8503;8222;16725
AL;2704302;Maceió;134496;5632;117217;6325;251713;11957;140128;123542;263670
AL;2704401;Major Isidoro;1653;5602;1478;5497;3131;11099;7255;6975;14230
AL;2704500;Maragogi;1438;4877;1299;5150;2737;10027;6315;6449;12764
AL;2704609;Maravilha;1007;3190;912;3113;1919;6303;4197;4025;8222
