Sigla;Código;Município;População - residente - urbana - mulheres (2000);População - residente - rural - mulheres (2000);População - residente - urbana - homens (2000);População - residente - rural - homens (2000);População  residente - urbana (2000);População  residente - rural (2000);População - residente - mulheres (2000);População - residente - homens (2000);População  residente -  total (2000)
AC;1200013;Acrelândia;1712;1967;1794;2462;3506;4429;3679;4256;7935
AC;1200054;Assis Brasil;1062;608;1089;731;2151;1339;1670;1820;3490
AC;1200104;Brasiléia;4559;3572;4467;4415;9026;7987;8131;8882;17013
AC;1200138;Bujari;798;1857;830;2341;1628;4198;2655;3171;5826
AC;1200179;Capixaba;742;1623;779;2062;1521;3685;2365;2841;5206
AC;1200203;Cruzeiro do Sul;19943;13579;19028;14891;38971;28470;33522;33919;67441
AC;1200252;Epitaciolândia;3808;1603;3596;2021;7404;3624;5411;5617;11028
AC;1200302;Feijó;5614;7405;5626;8077;11240;15482;13019;13703;26722
AC;1200328;Jordão;413;1693;450;1898;863;3591;2106;2348;4454
AC;1200336;Mâncio Lima;2894;2448;2900;2853;5794;5301;5342;5753;11095
AC;1200344;Manoel Urbano;1623;1376;1658;1717;3281;3093;2999;3375;6374
AC;1200351;Marechal Thaumaturgo;493;3426;492;3884;985;7310;3919;4376;8295
AC;1200385;Plácido de Castro;3503;3685;3476;4508;6979;8193;7188;7984;15172
AC;1200393;Porto Walter;703;1891;738;2153;1441;4044;2594;2891;5485
AC;1200401;Rio Branco;117489;12322;108809;14439;226298;26761;129811;123248;253059
AC;1200427;Rodrigues Alves;1295;2543;1337;2918;2632;5461;3838;4255;8093
AC;1200435;Santa Rosa do Purus;242;841;276;887;518;1728;1083;1163;2246
AC;1200450;Senador Guiomard;4362;5132;4278;5989;8640;11121;9494;10267;19761
AC;1200500;Sena Madureira;8122;6015;8033;7250;16155;13265;14137;15283;29420
AC;1200609;Tarauacá;6998;5607;6948;6484;13946;12091;12605;13432;26037
AC;1200708;Xapuri;3075;2673;2920;3288;5995;5961;5748;6208;11956
AC;1200807;Porto Acre;627;4600;666;5525;1293;10125;5227;6191;11418
AL;2700102;Água Branca;2359;7041;2137;7123;4496;14164;9400;9260;18660
AL;2700201;Anadia;4662;4237;4446;4504;9108;8741;8899;8950;17849
AL;2700300;Arapiraca;80184;17099;72170;17013;152354;34112;97283;89183;186466
AL;2700409;Atalaia;9103;10871;8846;11732;17949;22603;19974;20578;40552
AL;2700508;Barra de Santo Antônio;4819;792;4755;985;9574;1777;5611;5740;11351
AL;2700607;Barra de São Miguel;2636;570;2605;568;5241;1138;3206;3173;6379
AL;2700706;Batalha;5356;2174;4966;2303;10322;4477;7530;7269;14799
AL;2700805;Belém;952;2101;871;1995;1823;4096;3053;2866;5919
AL;2700904;Belo Monte;603;2786;623;2810;1226;5596;3389;3433;6822
AL;2701001;Boca da Mata;7786;4213;7629;4599;15415;8812;11999;12228;24227
AL;2701100;Branquinha;2973;2522;2915;2915;5888;5437;5495;5830;11325
AL;2701209;Cacimbinhas;2182;2692;2054;2624;4236;5316;4874;4678;9552
AL;2701308;Cajueiro;7233;2382;6815;2545;14048;4927;9615;9360;18975
AL;2701357;Campestre;2402;692;2323;806;4725;1498;3094;3129;6223
AL;2701407;Campo Alegre;8259;12784;7858;12127;16117;24911;21043;19985;41028
AL;2701506;Campo Grande;1892;2701;1811;2730;3703;5431;4593;4541;9134
AL;2701605;Canapi;2184;6518;1928;6704;4112;13222;8702;8632;17334
AL;2701704;Capela;6274;3093;5953;3373;12227;6466;9367;9326;18693
AL;2701803;Carneiros;1758;1577;1627;1623;3385;3200;3335;3250;6585
AL;2701902;Chã Preta;1887;1908;1785;2180;3672;4088;3795;3965;7760
AL;2702009;Coité do Nóia;1349;4577;1170;4897;2519;9474;5926;6067;11993
AL;2702108;Colônia Leopoldina;5845;2753;5569;3326;11414;6079;8598;8895;17493
AL;2702207;Coqueiro Seco;2258;271;2316;289;4574;560;2529;2605;5134
AL;2702306;Coruripe;11312;13008;10887;13639;22199;26647;24320;24526;48846
AL;2702355;Craíbas;3416;7067;3192;7114;6608;14181;10483;10306;20789
AL;2702405;Delmiro Gouveia;17531;4711;16032;4721;33563;9432;22242;20753;42995
AL;2702504;Dois Riachos;2356;3306;2065;3339;4421;6645;5662;5404;11066
AL;2702553;Estrela de Alagoas;1744;6668;1516;6413;3260;13081;8412;7929;16341
AL;2702603;Feira Grande;1841;8841;1716;8872;3557;17713;10682;10588;21270
AL;2702702;Feliz Deserto;1438;470;1410;518;2848;988;1908;1928;3836
AL;2702801;Flexeiras;3382;2399;3308;2890;6690;5289;5781;6198;11979
AL;2702900;Girau do Ponciano;4550;10247;4308;10469;8858;20716;14797;14777;29574
AL;2703007;Ibateguara;4192;3341;4085;3487;8277;6828;7533;7572;15105
AL;2703106;Igaci;3075;9953;2811;9745;5886;19698;13028;12556;25584
AL;2703205;Igreja Nova;2244;8349;2189;8669;4433;17018;10593;10858;21451
AL;2703304;Inhapi;3153;5976;2784;5855;5937;11831;9129;8639;17768
AL;2703403;Jacaré dos Homens;1442;1444;1384;1450;2826;2894;2886;2834;5720
AL;2703502;Jacuípe;1659;1803;1685;2166;3344;3969;3462;3851;7313
AL;2703601;Japaratinga;1281;2102;1230;2255;2511;4357;3383;3485;6868
AL;2703700;Jaramataia;1483;1408;1404;1493;2887;2901;2891;2897;5788
AL;2703759;Jequiá da Praia;;;;;;;;;
AL;2703809;Joaquim Gomes;6276;4165;6330;4717;12606;8882;10441;11047;21488
AL;2703908;Jundiá;1065;1116;1083;1416;2148;2532;2181;2499;4680
AL;2704005;Junqueiro;3629;8304;3328;8571;6957;16875;11933;11899;23832
AL;2704104;Lagoa da Canoa;4608;5592;4278;5510;8886;11102;10200;9788;19988
AL;2704203;Limoeiro de Anadia;1120;11119;985;11039;2105;22158;12239;12024;24263
AL;2704302;Maceió;420255;932;375549;1023;795804;1955;421187;376572;797759
AL;2704401;Major Isidoro;4471;4459;4064;4645;8535;9104;8930;8709;17639
AL;2704500;Maragogi;6562;4158;6340;4772;12902;8930;10720;11112;21832
AL;2704609;Maravilha;2699;4164;2555;4269;5254;8433;6863;6824;13687
AL;2704708;Marechal Deodoro;15155;2910;14682;3119;29837;6029;18065;17801;35866
AL;2704807;Maribondo;5249;2569;4852;2475;10101;5044;7818;7327;15145
AL;2704906;Mar Vermelho;747;1285;722;1324;1469;2609;2032;2046;4078
AL;2705002;Mata Grande;2458;10076;2273;10225;4731;20301;12534;12498;25032
AL;2705101;Matriz de Camaragibe;9312;2735;8950;3020;18262;5755;12047;11970;24017
AL;2705200;Messias;4841;1154;4711;1284;9552;2438;5995;5995;11990
AL;2705309;Minador do Negrão;976;1742;922;1759;1898;3501;2718;2681;5399
AL;2705408;Monteirópolis;1394;2308;1297;2241;2691;4549;3702;3538;7240
AL;2705507;Murici;8933;3376;8552;3810;17485;7186;12309;12362;24671
AL;2705606;Novo Lino;2740;2274;2601;2760;5341;5034;5014;5361;10375
AL;2705705;Olho d'Água das Flores;6876;3241;6120;3180;12996;6421;10117;9300;19417
AL;2705804;Olho d'Água do Casado;1985;1524;1902;1648;3887;3172;3509;3550;7059
AL;2705903;Olho d'Água Grande;560;1846;517;1924;1077;3770;2406;2441;4847
AL;2706000;Olivença;1200;3886;1171;4112;2371;7998;5086;5283;10369
AL;2706109;Ouro Branco;2736;2255;2564;2522;5300;4777;4991;5086;10077
AL;2706208;Palestina;1559;765;1455;744;3014;1509;2324;2199;4523
AL;2706307;Palmeira dos Índios;25796;9529;23162;9573;48958;19102;35325;32735;68060
AL;2706406;Pão de Açúcar;5703;6683;5103;6862;10806;13545;12386;11965;24351
AL;2706422;Pariconha;1229;3843;1175;3839;2404;7682;5072;5014;10086
AL;2706448;Paripueira;3665;438;3420;526;7085;964;4103;3946;8049
AL;2706505;Passo de Camaragibe;2852;3832;2899;4172;5751;8004;6684;7071;13755
AL;2706604;Paulo Jacinto;2445;1416;2216;1408;4661;2824;3861;3624;7485
AL;2706703;Penedo;21642;7460;19903;7988;41545;15448;29102;27891;56993
AL;2706802;Piaçabuçu;5200;3241;4954;3380;10154;6621;8441;8334;16775
AL;2706901;Pilar;14408;1409;13758;1626;28166;3035;15817;15384;31201
AL;2707008;Pindoba;657;777;673;819;1330;1596;1434;1492;2926
AL;2707107;Piranhas;720;9412;620;9255;1340;18667;10132;9875;20007
AL;2707206;Poço das Trincheiras;791;5739;766;5926;1557;11665;6530;6692;13222
AL;2707305;Porto Calvo;7639;4180;7344;4788;14983;8968;11819;12132;23951
AL;2707404;Porto de Pedras;2603;2307;2595;2733;5198;5040;4910;5328;10238
AL;2707503;Porto Real do Colégio;3047;6168;2913;6227;5960;12395;9215;9140;18355
AL;2707602;Quebrangulo;3179;2787;2970;2966;6149;5753;5966;5936;11902
AL;2707701;Rio Largo;25737;6173;24182;6418;49919;12591;31910;30600;62510
AL;2707800;Roteiro;2746;718;2731;790;5477;1508;3464;3521;6985
AL;2707909;Santa Luzia do Norte;2771;456;2675;486;5446;942;3227;3161;6388
AL;2708006;Santana do Ipanema;12697;8603;11296;8889;23993;17492;21300;20185;41485
AL;2708105;Santana do Mundaú;3134;2615;3048;2737;6182;5352;5749;5785;11534
AL;2708204;São Brás;1482;1735;1539;1795;3021;3530;3217;3334;6551
AL;2708303;São José da Laje;6502;4141;6018;4410;12520;8551;10643;10428;21071
AL;2708402;São José da Tapera;4828;9049;4433;9252;9261;18301;13877;13685;27562
AL;2708501;São Luís do Quitunde;8805;5662;8720;6356;17525;12018;14467;15076;29543
AL;2708600;São Miguel dos Campos;18161;7854;17214;8227;35375;16081;26015;25441;51456
AL;2708709;São Miguel dos Milagres;843;2067;901;2049;1744;4116;2910;2950;5860
AL;2708808;São Sebastião;4754;9809;4654;9907;9408;19716;14563;14561;29124
AL;2708907;Satuba;5124;1269;4851;1311;9975;2580;6393;6162;12555
AL;2708956;Senador Rui Palmeira;1829;4208;1614;4328;3443;8536;6037;5942;11979
AL;2709004;Tanque d'Arca;1117;2195;1024;2258;2141;4453;3312;3282;6594
AL;2709103;Taquarana;2323;6354;2048;6321;4371;12675;8677;8369;17046
AL;2709152;Teotônio Vilela;15036;3423;14802;3620;29838;7043;18459;18422;36881
