Sigla;Código;Município;População - residente - urbana - mulheres (1980);População - residente - rural - mulheres (1980);População - residente - urbana - homens (1980);População - residente - rural - homens (1980);População  residente - urbana (1980);População  residente - rural (1980);População - residente - mulheres (1980);População - residente - homens (1980);População  residente -  total (1980)
AC;1200013;Acrelândia;;;;;;;;;
AC;1200054;Assis Brasil;154;481;173;559;327;1040;635;732;1367
AC;1200104;Brasiléia;2479;4089;2362;4977;4841;9066;6568;7339;13907
AC;1200138;Bujari;;;;;;;;;
AC;1200179;Capixaba;;;;;;;;;
AC;1200203;Cruzeiro do Sul;5967;18698;5580;20227;11547;38925;24665;25807;50472
AC;1200252;Epitaciolândia;;;;;;;;;
AC;1200302;Feijó;2137;7267;2115;8050;4252;15317;9404;10165;19569
AC;1200328;Jordão;;;;;;;;;
AC;1200336;Mâncio Lima;657;2809;754;3154;1411;5963;3466;3908;7374
AC;1200344;Manoel Urbano;322;2439;328;2847;650;5286;2761;3175;5936
AC;1200351;Marechal Thaumaturgo;;;;;;;;;
AC;1200385;Plácido de Castro;780;3413;851;4209;1631;7622;4193;5060;9253
AC;1200393;Porto Walter;;;;;;;;;
AC;1200401;Rio Branco;44824;13327;42753;16197;87577;29524;58151;58950;117101
AC;1200427;Rodrigues Alves;;;;;;;;;
AC;1200435;Santa Rosa do Purus;;;;;;;;;
AC;1200450;Senador Guiomard;1468;2974;1548;3717;3016;6691;4442;5265;9707
AC;1200500;Sena Madureira;3374;7957;3267;8943;6641;16900;11331;12210;23541
AC;1200609;Tarauacá;3536;10014;3384;11428;6920;21442;13550;14812;28362
AC;1200708;Xapuri;1632;5359;1485;6211;3117;11570;6991;7696;14687
AC;1200807;Porto Acre;;;;;;;;;
AL;2700102;Água Branca;1457;11428;1284;10990;2741;22418;12885;12274;25159
AL;2700201;Anadia;2202;5342;1968;5321;4170;10663;7544;7289;14833
AL;2700300;Arapiraca;45955;24824;41256;24143;87211;48967;70779;65399;136178
AL;2700409;Atalaia;5203;15180;5003;16380;10206;31560;20383;21383;41766
AL;2700508;Barra de Santo Antônio;1884;2912;1784;3116;3668;6028;4796;4900;9696
AL;2700607;Barra de São Miguel;699;422;665;542;1364;964;1121;1207;2328
AL;2700706;Batalha;2920;2345;2784;2335;5704;4680;5265;5119;10384
AL;2700805;Belém;719;2440;682;2393;1401;4833;3159;3075;6234
AL;2700904;Belo Monte;431;2453;381;2447;812;4900;2884;2828;5712
AL;2701001;Boca da Mata;2931;5954;2987;6292;5918;12246;8885;9279;18164
AL;2701100;Branquinha;1224;3382;1224;3713;2448;7095;4606;4937;9543
AL;2701209;Cacimbinhas;1210;4219;1048;4111;2258;8330;5429;5159;10588
AL;2701308;Cajueiro;3611;3111;3477;3246;7088;6357;6722;6723;13445
AL;2701357;Campestre;;;;;;;;;
AL;2701407;Campo Alegre;2341;6269;2270;6701;4611;12970;8610;8971;17581
AL;2701506;Campo Grande;1401;3275;1339;3278;2740;6553;4676;4617;9293
AL;2701605;Canapi;950;8367;800;8239;1750;16606;9317;9039;18356
AL;2701704;Capela;3446;5622;3311;6236;6757;11858;9068;9547;18615
AL;2701803;Carneiros;763;2078;649;1957;1412;4035;2841;2606;5447
AL;2701902;Chã Preta;935;3986;900;4045;1835;8031;4921;4945;9866
AL;2702009;Coité do Nóia;641;3907;588;3827;1229;7734;4548;4415;8963
AL;2702108;Colônia Leopoldina;3510;3791;3407;4205;6917;7996;7301;7612;14913
AL;2702207;Coqueiro Seco;1729;174;1742;154;3471;328;1903;1896;3799
AL;2702306;Coruripe;4278;16061;4130;17181;8408;33242;20339;21311;41650
AL;2702355;Craíbas;;;;;;;;;
AL;2702405;Delmiro Gouveia;9835;4178;8704;4051;18539;8229;14013;12755;26768
AL;2702504;Dois Riachos;1266;2845;1113;2728;2379;5573;4111;3841;7952
AL;2702553;Estrela de Alagoas;;;;;;;;;
AL;2702603;Feira Grande;1002;7990;876;7674;1878;15664;8992;8550;17542
AL;2702702;Feliz Deserto;880;489;849;472;1729;961;1369;1321;2690
AL;2702801;Flexeiras;2056;4723;2066;5163;4122;9886;6779;7229;14008
AL;2702900;Girau do Ponciano;1819;9460;1777;9403;3596;18863;11279;11180;22459
AL;2703007;Ibateguara;2259;3764;2150;3913;4409;7677;6023;6063;12086
AL;2703106;Igaci;1574;11005;1507;10493;3081;21498;12579;12000;24579
AL;2703205;Igreja Nova;1910;7872;1733;7627;3643;15499;9782;9360;19142
AL;2703304;Inhapi;975;5510;910;5466;1885;10976;6485;6376;12861
AL;2703403;Jacaré dos Homens;865;1081;836;1091;1701;2172;1946;1927;3873
AL;2703502;Jacuípe;988;2470;1039;3035;2027;5505;3458;4074;7532
AL;2703601;Japaratinga;722;1404;637;1464;1359;2868;2126;2101;4227
AL;2703700;Jaramataia;605;923;600;1033;1205;1956;1528;1633;3161
AL;2703759;Jequiá da Praia;;;;;;;;;
AL;2703809;Joaquim Gomes;2082;6567;2023;7297;4105;13864;8649;9320;17969
AL;2703908;Jundiá;513;4614;527;4912;1040;9526;5127;5439;10566
AL;2704005;Junqueiro;5495;10258;5376;10071;10871;20329;15753;15447;31200
AL;2704104;Lagoa da Canoa;1570;4892;1404;4728;2974;9620;6462;6132;12594
AL;2704203;Limoeiro de Anadia;608;8633;543;8389;1151;17022;9241;8932;18173
AL;2704302;Maceió;208412;3346;183853;3689;392265;7035;211758;187542;399300
AL;2704401;Major Isidoro;2655;5434;2399;5532;5054;10966;8089;7931;16020
AL;2704500;Maragogi;2992;4310;2715;4936;5707;9246;7302;7651;14953
AL;2704609;Maravilha;1396;4610;1251;4575;2647;9185;6006;5826;11832
AL;2704708;Marechal Deodoro;5034;6433;4336;6892;9370;13325;11467;11228;22695
AL;2704807;Maribondo;4134;3546;3771;3590;7905;7136;7680;7361;15041
AL;2704906;Mar Vermelho;187;1956;189;1831;376;3787;2143;2020;4163
AL;2705002;Mata Grande;1616;10364;1417;10081;3033;20445;11980;11498;23478
AL;2705101;Matriz de Camaragibe;5043;3366;4872;3850;9915;7216;8409;8722;17131
AL;2705200;Messias;1290;2395;1255;2527;2545;4922;3685;3782;7467
AL;2705309;Minador do Negrão;927;3338;851;3130;1778;6468;4265;3981;8246
AL;2705408;Monteirópolis;836;2012;707;1865;1543;3877;2848;2572;5420
AL;2705507;Murici;4995;7638;4730;8492;9725;16130;12633;13222;25855
AL;2705606;Novo Lino;1975;5075;1918;5692;3893;10767;7050;7610;14660
AL;2705705;Olho d'Água das Flores;3077;4163;2767;3915;5844;8078;7240;6682;13922
AL;2705804;Olho d'Água do Casado;985;1078;905;1111;1890;2189;2063;2016;4079
AL;2705903;Olho d'Água Grande;359;1951;375;1935;734;3886;2310;2310;4620
AL;2706000;Olivença;547;4293;499;4184;1046;8477;4840;4683;9523
AL;2706109;Ouro Branco;1332;3104;1183;3149;2515;6253;4436;4332;8768
AL;2706208;Palestina;701;560;689;540;1390;1100;1261;1229;2490
AL;2706307;Palmeira dos Índios;18826;16275;16645;15184;35471;31459;35101;31829;66930
AL;2706406;Pão de Açúcar;4277;5495;3689;5475;7966;10970;9772;9164;18936
AL;2706422;Pariconha;;;;;;;;;
AL;2706448;Paripueira;;;;;;;;;
AL;2706505;Passo de Camaragibe;2127;3472;2101;3626;4228;7098;5599;5727;11326
AL;2706604;Paulo Jacinto;2380;1919;2094;1780;4474;3699;4299;3874;8173
AL;2706703;Penedo;14466;4702;12588;4902;27054;9604;19168;17490;36658
AL;2706802;Piaçabuçu;3137;2753;2846;2807;5983;5560;5890;5653;11543
AL;2706901;Pilar;7542;4461;7167;4726;14709;9187;12003;11893;23896
AL;2707008;Pindoba;650;1962;604;1999;1254;3961;2612;2603;5215
AL;2707107;Piranhas;591;2393;568;2397;1159;4790;2984;2965;5949
AL;2707206;Poço das Trincheiras;421;4999;382;4869;803;9868;5420;5251;10671
AL;2707305;Porto Calvo;4307;5559;4173;6457;8480;12016;9866;10630;20496
AL;2707404;Porto de Pedras;1896;2893;1793;3259;3689;6152;4789;5052;9841
AL;2707503;Porto Real do Colégio;2258;5104;2064;4963;4322;10067;7362;7027;14389
AL;2707602;Quebrangulo;2637;3832;2263;3913;4900;7745;6469;6176;12645
AL;2707701;Rio Largo;12041;10025;11145;10234;23186;20259;22066;21379;43445
AL;2707800;Roteiro;1215;1217;1231;1508;2446;2725;2432;2739;5171
AL;2707909;Santa Luzia do Norte;1231;390;1309;389;2540;779;1621;1698;3319
AL;2708006;Santana do Ipanema;8283;12812;7058;12219;15341;25031;21095;19277;40372
AL;2708105;Santana do Mundaú;2120;4631;2016;4813;4136;9444;6751;6829;13580
AL;2708204;São Brás;1446;2211;1426;2297;2872;4508;3657;3723;7380
AL;2708303;São José da Laje;4296;6826;3920;6917;8216;13743;11122;10837;21959
AL;2708402;São José da Tapera;1773;10888;1650;10479;3423;21367;12661;12129;24790
AL;2708501;São Luís do Quitunde;4033;8441;4043;9343;8076;17784;12474;13386;25860
AL;2708600;São Miguel dos Campos;9510;10649;8980;11569;18490;22218;20159;20549;40708
AL;2708709;São Miguel dos Milagres;482;1915;469;1943;951;3858;2397;2412;4809
AL;2708808;São Sebastião;1192;8758;1134;8680;2326;17438;9950;9814;19764
AL;2708907;Satuba;1733;1420;1614;1461;3347;2881;3153;3075;6228
AL;2708956;Senador Rui Palmeira;;;;;;;;;
AL;2709004;Tanque d'Arca;807;3049;695;2932;1502;5981;3856;3627;7483
AL;2709103;Taquarana;1206;5651;1112;5220;2318;10871;6857;6332;13189
AL;2709152;Teotônio Vilela;;;;;;;;;
AL;2709202;Traipu;2950;6844;2684;6794;5634;13638;9794;9478;19272
AL;2709301;União dos Palmares;11744;14806;10722;15430;22466;30236;26550;26152;52702
AL;2709400;Viçosa;5432;7118;4979;7129;10411;14247;12550;12108;24658
AM;1300029;Alvarães;;;;;;;;;
AM;1300060;Amaturá;;;;;;;;;
AM;1300086;Anamã;;;;;;;;;
AM;1300102;Anori;1866;5208;1960;5977;3826;11185;7074;7937;15011
AM;1300144;Apuí;;;;;;;;;
AM;1300201;Atalaia do Norte;640;2386;621;3023;1261;5409;3026;3644;6670
AM;1300300;Autazes;1518;6129;1523;6891;3041;13020;7647;8414;16061
AM;1300409;Barcelos;989;3187;1023;3889;2012;7076;4176;4912;9088
AM;1300508;Barreirinha;1543;6001;1559;6291;3102;12292;7544;7850;15394
AM;1300607;Benjamin Constant;3290;8863;3250;9242;6540;18105;12153;12492;24645
AM;1300631;Beruri;;;;;;;;;
AM;1300680;Boa Vista do Ramos;;;;;;;;;
AM;1300706;Boca do Acre;3520;6978;3553;7778;7073;14756;10498;11331;21829
AM;1300805;Borba;3452;7892;3476;8748;6928;16640;11344;12224;23568
AM;1300839;Caapiranga;;;;;;;;;
AM;1300904;Canutama;898;2127;909;2456;1807;4583;3025;3365;6390
AM;1301001;Carauari;2708;6923;2807;7590;5515;14513;9631;10397;20028
AM;1301100;Careiro;684;15703;687;17899;1371;33602;16387;18586;34973
AM;1301159;Careiro da Várzea;;;;;;;;;
AM;1301209;Coari;7382;13129;7423;14675;14805;27804;20511;22098;42609
AM;1301308;Codajás;2425;2771;2503;3121;4928;5892;5196;5624;10820
AM;1301407;Eirunepé;4018;3198;4105;3449;8123;6647;7216;7554;14770
AM;1301506;Envira;675;6266;710;7051;1385;13317;6941;7761;14702
AM;1301605;Fonte Boa;1567;4896;1689;5363;3256;10259;6463;7052;13515
AM;1301654;Guajará;;;;;;;;;
AM;1301704;Humaitá;4899;6557;4954;7908;9853;14465;11456;12862;24318
AM;1301803;Ipixuna;454;8627;398;9265;852;17892;9081;9663;18744
AM;1301852;Iranduba;;;;;;;;;
AM;1301902;Itacoatiara;13696;12077;13300;13809;26996;25886;25773;27109;52882
AM;1301951;Itamarati;;;;;;;;;
AM;1302009;Itapiranga;1143;1464;1130;1871;2273;3335;2607;3001;5608
AM;1302108;Japurá;160;817;157;962;317;1779;977;1119;2096
AM;1302207;Juruá;285;2995;336;3336;621;6331;3280;3672;6952
AM;1302306;Jutaí;1347;3181;1623;3185;2970;6366;4528;4808;9336
AM;1302405;Lábrea;4072;6741;4179;7034;8251;13775;10813;11213;22026
AM;1302504;Manacapuru;9122;20616;9108;22172;18230;42788;29738;31280;61018
AM;1302553;Manaquiri;;;;;;;;;
AM;1302603;Manaus;314429;9744;297414;11796;611843;21540;324173;309210;633383
AM;1302702;Manicoré;4611;9715;4758;10978;9369;20693;14326;15736;30062
AM;1302801;Maraã;527;4259;519;4683;1046;8942;4786;5202;9988
AM;1302900;Maués;5443;9043;5364;10172;10807;19215;14486;15536;30022
AM;1303007;Nhamundá;972;5434;900;6290;1872;11724;6406;7190;13596
AM;1303106;Nova Olinda do Norte;1980;4302;1964;4964;3944;9266;6282;6928;13210
AM;1303205;Novo Airão;594;1112;594;1372;1188;2484;1706;1966;3672
AM;1303304;Novo Aripuanã;1215;3507;1258;4180;2473;7687;4722;5438;10160
AM;1303403;Parintins;15202;10289;14302;11588;29504;21877;25491;25890;51381
AM;1303502;Pauini;622;3912;629;4285;1251;8197;4534;4914;9448
AM;1303536;Presidente Figueiredo;;;;;;;;;
AM;1303569;Rio Preto da Eva;;;;;;;;;
