Sigla;Código;Município;População - residente - urbana - mulheres (1991);População - residente - rural - mulheres (1991);População - residente - urbana - homens (1991);População - residente - rural - homens (1991);População  residente - urbana (1991);População  residente - rural (1991);População - residente - mulheres (1991);População - residente - homens (1991);População  residente -  total (1991)
AC;1200013;Acrelândia;;;;;;;;;
AC;1200054;Assis Brasil;781;584;835;717;1616;1301;1365;1552;2917
AC;1200104;Brasiléia;5889;3861;5668;4845;11557;8706;9750;10513;20263
AC;1200138;Bujari;;;;;;;;;
AC;1200179;Capixaba;;;;;;;;;
AC;1200203;Cruzeiro do Sul;14428;18619;13426;20130;27854;38749;33047;33556;66603
AC;1200252;Epitaciolândia;;;;;;;;;
AC;1200302;Feijó;3670;4978;3481;5640;7151;10618;8648;9121;17769
AC;1200328;Jordão;;;;;;;;;
AC;1200336;Mâncio Lima;1733;3196;1842;3446;3575;6642;4929;5288;10217
AC;1200344;Manoel Urbano;1231;1332;1215;1549;2446;2881;2563;2764;5327
AC;1200351;Marechal Thaumaturgo;;;;;;;;;
AC;1200385;Plácido de Castro;2162;4957;2170;6246;4332;11203;7119;8416;15535
AC;1200393;Porto Walter;;;;;;;;;
AC;1200401;Rio Branco;86459;12995;82220;15702;168679;28697;99454;97922;197376
AC;1200427;Rodrigues Alves;;;;;;;;;
AC;1200435;Santa Rosa do Purus;;;;;;;;;
AC;1200450;Senador Guiomard;3143;5043;3160;6143;6303;11186;8186;9303;17489
AC;1200500;Sena Madureira;5292;6434;5077;7394;10369;13828;11726;12471;24197
AC;1200609;Tarauacá;4874;8444;4692;9649;9566;18093;13318;14341;27659
AC;1200708;Xapuri;2677;3362;2395;3932;5072;7294;6039;6327;12366
AC;1200807;Porto Acre;;;;;;;;;
AL;2700102;Água Branca;2880;10547;2664;10469;5544;21016;13427;13133;26560
AL;2700201;Anadia;4053;4185;3850;4249;7903;8434;8238;8099;16337
AL;2700300;Arapiraca;69147;17074;61816;16884;130963;33958;86221;78700;164921
AL;2700409;Atalaia;7251;11741;7014;12557;14265;24298;18992;19571;38563
AL;2700508;Barra de Santo Antônio;2833;4250;2810;4441;5643;8691;7083;7251;14334
AL;2700607;Barra de São Miguel;1760;729;1741;720;3501;1449;2489;2461;4950
AL;2700706;Batalha;4365;2331;3913;2424;8278;4755;6696;6337;13033
AL;2700805;Belém;945;2071;882;2021;1827;4092;3016;2903;5919
AL;2700904;Belo Monte;528;2999;538;3002;1066;6001;3527;3540;7067
AL;2701001;Boca da Mata;5792;5107;5714;5575;11506;10682;10899;11289;22188
AL;2701100;Branquinha;1357;2663;1338;2947;2695;5610;4020;4285;8305
AL;2701209;Cacimbinhas;2129;4903;1931;4758;4060;9661;7032;6689;13721
AL;2701308;Cajueiro;6381;3004;6012;3200;12393;6204;9385;9212;18597
AL;2701357;Campestre;;;;;;;;;
AL;2701407;Campo Alegre;5855;12524;5677;12714;11532;25238;18379;18391;36770
AL;2701506;Campo Grande;2019;3037;1985;3000;4004;6037;5056;4985;10041
AL;2701605;Canapi;1786;7665;1529;7650;3315;15315;9451;9179;18630
AL;2701704;Capela;5018;4327;4716;4716;9734;9043;9345;9432;18777
AL;2701803;Carneiros;1056;1790;980;1861;2036;3651;2846;2841;5687
AL;2701902;Chã Preta;1542;2494;1477;2683;3019;5177;4036;4160;8196
AL;2702009;Coité do Nóia;1115;3862;966;3856;2081;7718;4977;4822;9799
AL;2702108;Colônia Leopoldina;4934;3346;4606;3853;9540;7199;8280;8459;16739
AL;2702207;Coqueiro Seco;2119;259;2084;322;4203;581;2378;2406;4784
AL;2702306;Coruripe;7163;17266;6812;17999;13975;35265;24429;24811;49240
AL;2702355;Craíbas;2645;6421;2423;6327;5068;12748;9066;8750;17816
AL;2702405;Delmiro Gouveia;16850;4656;15107;4601;31957;9257;21506;19708;41214
AL;2702504;Dois Riachos;1824;3450;1589;3148;3413;6598;5274;4737;10011
AL;2702553;Estrela de Alagoas;;;;;;;;;
AL;2702603;Feira Grande;1494;8182;1319;8057;2813;16239;9676;9376;19052
AL;2702702;Feliz Deserto;1351;374;1290;423;2641;797;1725;1713;3438
AL;2702801;Flexeiras;2261;3591;2274;3971;4535;7562;5852;6245;12097
AL;2702900;Girau do Ponciano;3930;10217;3623;10031;7553;20248;14147;13654;27801
AL;2703007;Ibateguara;3776;3997;3578;4269;7354;8266;7773;7847;15620
AL;2703106;Igaci;2636;10731;2422;10338;5058;21069;13367;12760;26127
AL;2703205;Igreja Nova;2031;7849;1979;7990;4010;15839;9880;9969;19849
AL;2703304;Inhapi;2166;5438;1880;5307;4046;10745;7604;7187;14791
AL;2703403;Jacaré dos Homens;1136;1277;1106;1227;2242;2504;2413;2333;4746
AL;2703502;Jacuípe;1077;2373;1225;2806;2302;5179;3450;4031;7481
AL;2703601;Japaratinga;1187;2289;1037;2580;2224;4869;3476;3617;7093
AL;2703700;Jaramataia;1095;1077;1033;1167;2128;2244;2172;2200;4372
AL;2703759;Jequiá da Praia;;;;;;;;;
