Sigla;Código;Município;População - residente - urbana - mulheres (1996);População - residente - rural - mulheres (1996);População - residente - urbana - homens (1996);População - residente - rural - homens (1996);População  residente - urbana (1996);População  residente - rural (1996);População - residente - mulheres (1996);População - residente - homens (1996);População  residente -  total (1996)
AC;1200013;Acrelândia;890;1948;1005;2465;1895;4413;2838;3470;6308
AC;1200054;Assis Brasil;905;461;952;600;1857;1061;1366;1552;2918
AC;1200104;Brasiléia;3680;2957;3610;3708;7290;6665;6637;7318;13955
AC;1200138;Bujari;569;1290;542;1700;1111;2990;1859;2242;4101
AC;1200179;Capixaba;493;799;496;1115;989;1914;1292;1611;2903
AC;1200203;Cruzeiro do Sul;16827;11357;15832;12689;32659;24046;28184;28521;56705
AC;1200252;Epitaciolândia;2890;1598;2713;2054;5603;3652;4488;4767;9255
AC;1200302;Feijó;4961;5821;4783;6577;9744;12398;10782;11360;22142
AC;1200328;Jordão;262;1626;286;1803;548;3429;1888;2089;3977
AC;1200336;Mâncio Lima;2348;1886;2360;2105;4708;3991;4234;4465;8699
AC;1200344;Manoel Urbano;1336;1282;1311;1591;2647;2873;2618;2902;5520
AC;1200351;Marechal Thaumaturgo;255;3763;244;4119;499;7882;4018;4363;8381
AC;1200385;Plácido de Castro;1907;3759;1960;4475;3867;8234;5666;6435;12101
AC;1200393;Porto Walter;565;1943;585;2177;1150;4120;2508;2762;5270
AC;1200401;Rio Branco;103987;12589;97360;14921;201347;27510;116576;112281;228857
AC;1200427;Rodrigues Alves;905;3148;949;3499;1854;6647;4053;4448;8501
AC;1200435;Santa Rosa do Purus;161;641;166;665;327;1306;802;831;1633
AC;1200450;Senador Guiomard;3237;3522;3215;4306;6452;7828;6759;7521;14280
AC;1200500;Sena Madureira;6210;5023;6100;5997;12310;11020;11233;12097;23330
AC;1200609;Tarauacá;5746;5760;5640;6569;11386;12329;11506;12209;23715
AC;1200708;Xapuri;3184;2894;2976;3662;6160;6556;6078;6638;12716
AC;1200807;Porto Acre;420;3339;448;4119;868;7458;3759;4567;8326
AL;2700102;Água Branca;2066;6869;1867;6952;3933;13821;8935;8819;17754
AL;2700201;Anadia;4335;3915;4216;4047;8551;7962;8250;8263;16513
AL;2700300;Arapiraca;72748;17650;65495;17446;138243;35096;90398;82941;173339
AL;2700409;Atalaia;8358;9664;8240;10380;16598;20044;18022;18620;36642
AL;2700508;Barra de Santo Antônio;2750;1783;2719;1912;5469;3695;4533;4631;9164
AL;2700607;Barra de São Miguel;2344;655;2388;689;4732;1344;2999;3077;6076
AL;2700706;Batalha;4735;2143;4268;2300;9003;4443;6878;6568;13446
AL;2700805;Belém;992;1724;897;1665;1889;3389;2716;2562;5278
AL;2700904;Belo Monte;572;2601;592;2646;1164;5247;3173;3238;6411
AL;2701001;Boca da Mata;6712;4206;6570;4674;13282;8880;10918;11244;22162
AL;2701100;Branquinha;1523;3095;1639;3457;3162;6552;4618;5096;9714
AL;2701209;Cacimbinhas;2000;2374;1872;2417;3872;4791;4374;4289;8663
AL;2701308;Cajueiro;6655;2508;6206;2595;12861;5103;9163;8801;17964
AL;2701357;Campestre;;;;;;;;;
AL;2701407;Campo Alegre;8066;11715;7228;11237;15294;22952;19781;18465;38246
AL;2701506;Campo Grande;2522;2669;2428;2670;4950;5339;5191;5098;10289
AL;2701605;Canapi;2114;6509;1848;6680;3962;13189;8623;8528;17151
AL;2701704;Capela;6043;4225;5629;4230;11672;8455;10268;9859;20127
AL;2701803;Carneiros;1465;1513;1388;1572;2853;3085;2978;2960;5938
AL;2701902;Chã Preta;1710;2016;1629;2238;3339;4254;3726;3867;7593
AL;2702009;Coité do Nóia;1305;3793;1160;3930;2465;7723;5098;5090;10188
